query,parent_asin,relevance
"phone adapter screw problem",B013ZJMR3K,1
"phone adapter screw problem",B073JYC4XM,0
"phone adapter screw problem",B082M1YTYC,1
"phone adapter screw problem",B0126KXDN2,1
"phone adapter screw problem",B08SBQNB1V,0
"phone adapter screw problem",B000HVHYJW,1
"phone adapter screw problem",B0007LXQBW,0
"phone adapter screw problem",B0007LXQBW,0
"phone adapter screw problem",B0BG5WJ9RV,1
"phone adapter screw problem",B0BQJG3KGN,0
"phone adapter screw problem",B006C13X4Q,0
"phone adapter screw problem",B07P94PB7Z,1
"phone adapter screw problem",B078SQWBDY,1
"phone adapter screw problem",B00HTA0AJ0,1
"phone adapter screw problem",B00A0P3XUY,0